image_name,label,xmin,ymin,xmax,ymax
000001.jpg,0,223,90,286,131
000002.jpg,0,488,90,539,130
000003.jpg,0,151,129,313,252
000004.jpg,0,331,115,441,185
000005.jpg,0,382,143,485,230
000006.jpg,0,248,125,495,297
000007.jpg,0,1,99,658,462
000008.jpg,0,264,94,648,331
000009.jpg,0,203,80,614,384
000010.jpg,0,180,103,445,331
000011.jpg,0,340,140,483,208
000012.jpg,1,254,153,575,356
000013.jpg,1,179,223,277,326
000014.jpg,0,63,93,716,406
000015.jpg,0,115,91,484,335
000016.jpg,0,308,97,538,217
000017.jpg,0,395,159,436,216
000018.jpg,0,157,67,635,478
000019.jpg,0,130,68,677,487
000020.jpg,0,286,153,365,203
000021.jpg,0,211,139,285,205
000022.jpg,0,89,160,165,272
000023.jpg,1,223,237,318,345
000024.jpg,0,58,142,420,368
000025.jpg,0,203,79,304,137
000026.jpg,0,87,111,243,199
000027.jpg,0,214,91,295,144
000028.jpg,0,111,114,194,162
000029.jpg,0,79,106,448,328
000030.jpg,0,106,118,376,352
000031.jpg,0,124,75,211,125
000032.jpg,0,239,250,297,357
000033.jpg,0,340,217,404,269
000034.jpg,0,299,149,357,209
000035.jpg,0,153,62,694,372
000036.jpg,0,70,64,449,336
000037.jpg,0,101,54,406,266
000038.jpg,0,174,69,373,218
000039.jpg,0,210,62,336,162
000040.jpg,0,177,50,400,221
000041.jpg,0,179,135,604,409
000042.jpg,0,264,178,333,256
000043.jpg,0,236,159,326,204
000044.jpg,0,403,83,460,125
000045.jpg,0,300,118,497,367
000046.jpg,0,211,105,501,300
000047.jpg,0,313,107,538,341
000048.jpg,0,410,133,635,325
000049.jpg,0,294,187,367,268
000050.jpg,0,204,193,268,260
000051.jpg,0,302,77,404,175
000052.jpg,0,278,84,380,184
000053.jpg,0,395,69,569,202
000054.jpg,0,206,82,285,155
000055.jpg,0,168,74,350,198
000056.jpg,1,196,189,281,277
000057.jpg,0,290,75,503,210
000058.jpg,1,302,197,383,274
000059.jpg,0,325,181,546,339
000060.jpg,0,324,174,579,362
000061.jpg,0,331,80,552,195
000062.jpg,0,346,91,544,201
000063.jpg,0,206,185,464,367
000064.jpg,0,305,119,571,269
000065.jpg,0,316,61,490,143
000066.jpg,1,104,130,230,255
000067.jpg,1,162,143,307,280
000068.jpg,0,241,88,364,192
000069.jpg,0,279,121,443,364
000070.jpg,0,214,148,299,218
000071.jpg,0,135,56,591,290
000072.jpg,0,267,123,599,279
000073.jpg,0,223,153,580,276
000074.jpg,0,311,167,396,217
000075.jpg,0,136,174,334,264
000076.jpg,1,149,165,262,301
000077.jpg,1,172,124,236,194
000078.jpg,1,251,55,359,161
000079.jpg,1,109,86,201,143
000080.jpg,1,170,87,279,155
000081.jpg,1,335,233,417,313
000082.jpg,0,307,161,389,258
000083.jpg,0,243,170,315,261
000084.jpg,0,314,172,410,282
000085.jpg,1,160,93,243,219
000086.jpg,0,427,232,456,265
000087.jpg,0,357,155,393,179
000088.jpg,1,177,81,282,186
000089.jpg,1,282,72,395,167
000090.jpg,1,270,126,352,206
000091.jpg,0,446,115,520,189
000092.jpg,0,459,93,517,169
000093.jpg,0,324,127,461,200
000094.jpg,1,286,216,392,309
000095.jpg,1,315,228,423,307
000096.jpg,1,284,267,357,360
000097.jpg,1,363,152,407,196
000098.jpg,1,252,150,331,223
000099.jpg,0,57,66,419,420
000100.jpg,0,151,57,457,288
000101.jpg,1,336,150,561,323
000102.jpg,1,358,174,510,352
000103.jpg,1,434,163,539,274
000104.jpg,0,324,66,479,187
000105.jpg,0,382,66,625,174
000106.jpg,0,184,119,288,232
000107.jpg,0,171,130,336,259
000108.jpg,1,308,130,515,284
000109.jpg,1,255,142,423,312
000110.jpg,1,420,119,522,230
000111.jpg,0,313,74,474,202
000112.jpg,0,364,86,524,213
000113.jpg,0,99,110,553,319
000114.jpg,1,328,82,403,187
000115.jpg,1,315,145,384,206
000116.jpg,1,349,156,397,209
000117.jpg,0,421,79,594,196
000118.jpg,0,293,100,444,192
000119.jpg,0,492,85,671,222
000120.jpg,0,435,96,682,179
000121.jpg,0,341,164,587,358
000122.jpg,0,398,171,498,261
000123.jpg,0,423,196,500,256
000124.jpg,0,300,151,528,284
000125.jpg,0,114,84,435,319
000126.jpg,0,179,105,435,267
000127.jpg,0,226,98,379,244
000128.jpg,0,99,70,439,333
000129.jpg,0,88,58,428,324
000130.jpg,0,180,163,268,233
000131.jpg,0,343,196,398,257
000132.jpg,0,267,177,351,258
000133.jpg,0,411,75,572,180
000134.jpg,0,322,80,364,111
000135.jpg,0,382,47,546,158
000136.jpg,0,166,102,234,138
000137.jpg,0,145,66,422,325
000138.jpg,0,347,70,591,337
000139.jpg,0,413,82,601,299
000140.jpg,0,190,90,509,369
000141.jpg,0,176,82,501,378
000142.jpg,0,224,99,552,378
000143.jpg,0,246,118,345,177
000144.jpg,0,281,113,326,163
000145.jpg,0,165,78,223,111
000146.jpg,1,210,149,296,228
000147.jpg,1,213,115,311,197
000148.jpg,0,314,117,382,166
000149.jpg,0,354,43,501,181
000150.jpg,1,319,92,551,209
000151.jpg,0,240,147,438,265
000152.jpg,0,218,143,420,264
000153.jpg,0,281,124,438,262
000154.jpg,0,253,131,411,229
000155.jpg,0,202,119,392,259
000156.jpg,0,307,58,436,192
000157.jpg,0,267,84,315,139
000158.jpg,0,390,178,463,242
000159.jpg,0,103,156,324,376
000160.jpg,0,305,157,345,195
000161.jpg,0,382,154,419,202
000162.jpg,0,184,93,495,418
000163.jpg,1,127,169,201,226
000164.jpg,1,179,166,261,257
000165.jpg,0,284,100,367,178
000166.jpg,0,338,106,406,186
000167.jpg,0,206,125,279,207
000168.jpg,0,162,127,332,262
000169.jpg,0,323,158,421,237
000170.jpg,1,19,71,187,173
000171.jpg,0,179,67,328,141
000172.jpg,0,199,92,293,142
000173.jpg,0,267,116,465,270
000174.jpg,0,131,119,313,272
000175.jpg,0,264,94,473,267
000176.jpg,0,349,109,539,258
000177.jpg,0,287,119,379,197
000178.jpg,1,193,71,335,172
000179.jpg,1,217,74,342,145
000180.jpg,1,349,85,525,289
000181.jpg,1,333,85,511,280
000182.jpg,1,243,94,465,301
000183.jpg,1,130,118,546,409
000184.jpg,0,255,92,691,479
000185.jpg,0,286,186,606,475
000186.jpg,1,234,85,504,338
000187.jpg,0,315,93,372,155
000188.jpg,0,184,75,545,419
000189.jpg,0,322,52,701,393
000190.jpg,0,151,185,475,443
000191.jpg,0,280,103,483,367
000192.jpg,0,197,82,364,185
000193.jpg,0,152,91,609,331
000194.jpg,1,188,140,403,363
000195.jpg,1,204,84,610,332
000196.jpg,1,342,165,473,280
000197.jpg,0,385,125,567,262
000198.jpg,0,406,146,515,253
000199.jpg,0,198,156,268,195
000200.jpg,1,335,108,447,201
000201.jpg,0,337,166,395,219
000202.jpg,0,174,92,406,242
000203.jpg,0,106,69,507,344
000204.jpg,0,65,52,604,346
000205.jpg,0,331,107,533,251
000206.jpg,0,285,103,443,224
000207.jpg,0,315,169,390,220
000208.jpg,0,376,179,488,260
000209.jpg,0,54,51,685,382
000210.jpg,0,110,59,588,393
000211.jpg,0,168,69,623,355
000212.jpg,0,110,82,424,357
000213.jpg,0,279,141,376,239
000214.jpg,0,232,162,327,218
000215.jpg,0,410,153,474,193
000216.jpg,0,23,66,648,451
000217.jpg,0,430,133,554,210
000218.jpg,0,202,159,305,227
000219.jpg,0,327,142,432,198
000220.jpg,0,427,122,487,157
000221.jpg,0,354,249,451,297
000222.jpg,0,359,108,558,274
000223.jpg,0,259,110,464,273
000224.jpg,0,270,186,408,303
000225.jpg,0,295,179,422,296
000226.jpg,0,343,192,425,304
000227.jpg,0,152,200,244,261
000228.jpg,0,182,141,504,386
000229.jpg,0,203,137,299,220
000230.jpg,0,350,142,438,227
000231.jpg,0,395,133,553,218
000232.jpg,0,434,138,505,216
000233.jpg,0,285,133,392,221
000234.jpg,0,242,150,315,201
000235.jpg,0,256,46,489,151
000236.jpg,0,223,179,290,214
000237.jpg,0,158,103,580,372
000238.jpg,0,448,201,512,245
000239.jpg,0,143,64,608,441
000240.jpg,1,311,96,424,220
000241.jpg,0,100,56,564,355
000242.jpg,0,63,99,481,266
000243.jpg,0,303,186,464,284
000244.jpg,0,310,165,441,264
000245.jpg,0,319,165,427,267
000246.jpg,0,520,130,570,182
000247.jpg,0,276,265,382,333
000248.jpg,0,294,229,377,281
000249.jpg,1,326,94,453,218
000250.jpg,1,95,81,369,244
000251.jpg,1,125,61,302,220
000252.jpg,0,440,134,509,205
000253.jpg,0,323,166,380,264
000254.jpg,0,371,197,535,287
000255.jpg,0,529,134,575,189
000256.jpg,0,356,96,461,165
000257.jpg,1,167,95,393,292
000258.jpg,1,167,110,398,295
000259.jpg,0,167,211,324,356
000260.jpg,0,140,232,270,333
000261.jpg,0,194,70,578,366
000262.jpg,0,285,65,614,319
000263.jpg,1,120,121,366,300
000264.jpg,1,137,144,332,320
000265.jpg,0,252,60,396,142
000266.jpg,0,187,109,435,322
000267.jpg,0,312,281,434,386
000268.jpg,0,318,89,433,177
000269.jpg,0,239,74,355,182
000270.jpg,1,233,184,306,302
000271.jpg,0,313,91,416,161
000272.jpg,0,297,117,422,192
000273.jpg,0,303,95,420,156
000274.jpg,0,390,173,433,218
000275.jpg,0,361,95,476,173
000276.jpg,0,237,100,472,189
000277.jpg,0,121,85,241,154
000278.jpg,0,384,126,422,153
000279.jpg,0,307,118,387,180
000280.jpg,0,264,113,350,175
000281.jpg,0,387,143,477,201
000282.jpg,0,291,179,387,253
000283.jpg,0,185,44,536,363
000284.jpg,0,223,170,319,245
000285.jpg,0,198,80,441,274
000286.jpg,0,292,125,390,193
000287.jpg,0,167,73,551,435
000288.jpg,0,216,87,562,404
000289.jpg,0,408,135,562,213
000290.jpg,0,308,173,395,264
000291.jpg,1,140,170,215,299
000292.jpg,0,19,114,475,389
000293.jpg,0,176,184,272,298
000294.jpg,0,148,196,213,242
000295.jpg,0,199,105,492,438
000296.jpg,0,292,122,530,440
000297.jpg,1,133,115,303,247
000298.jpg,1,159,68,288,241
000299.jpg,0,240,173,531,351
000300.jpg,0,363,167,584,356
000301.jpg,0,468,96,741,411
000302.jpg,0,476,124,571,204
000303.jpg,0,254,99,680,400
000304.jpg,0,103,118,602,345
